Stimulus,Timestamp,x,y
I10P2R4,1518516389517,0,2
I10P2R4,1518516389711,0,3
I10P2R4,1518516390439,0,2
I10P2R4,1518516391102,0,1
I10P2R4,1518516391235,1,1
I10P2R4,1518516391387,1,0
I10P2R4,1518516391649,2,0
I01P1R1,1518516400736,3,7
I01P1R1,1518516400742,3,3
I01P1R1,1518516400761,3,2
I01P1R1,1518516400876,3,1
I01P1R1,1518516400896,2,0
I10P1R2,1518516410896,1,0
I10P1R2,1518516411693,2,0
I10P1R2,1518516411891,3,0
I10P1R2,1518516411958,4,0
I10P1R2,1518516411993,5,0
I10P1R2,1518516412042,6,0
I10P1R2,1518516412057,7,0
I10P1R2,1518516412089,8,0
I10P1R2,1518516413068,7,0
I10P1R2,1518516413101,6,0
I10P1R2,1518516413118,5,0
I10P1R2,1518516413135,4,0
I10P1R2,1518516413169,3,0
I10P1R2,1518516413202,2,0
I10P1R2,1518516413236,1,0
I10P1R2,1518516413252,0,0
I10P1R2,1518516415061,1,0
I10P1R2,1518516415178,2,0
I09P1R1,1518516422396,1,0
I09P1R1,1518516422542,0,0
I09P1R1,1518516424522,1,0
I09P1R1,1518516424734,2,0
I09P1R1,1518516425081,3,0
I09P1R1,1518516425463,4,0
I09P1R1,1518516425528,5,0
I09P1R1,1518516425563,6,0
I09P1R1,1518516425612,7,0
I09P1R1,1518516425645,8,0
I04P2R3,1518516430702,5,1
I04P2R3,1518516431422,5,0
I04P2R3,1518516431620,4,0
I04P2R3,1518516431735,3,0
I04P2R3,1518516431834,2,0
I04P2R3,1518516431987,1,0
I04P2R3,1518516432948,2,0
I04P2R3,1518516434140,3,0
I04P2R3,1518516434325,4,0
I04P2R3,1518516434541,5,0
I04P2R3,1518516435534,4,0
I10P1R1,1518516442968,3,0
I02P2R1,1518516450003,2,0
I02P2R1,1518516451217,1,0
I02P2R1,1518516451648,0,0
I04P2R2,1518516457934,1,2
I04P2R2,1518516458007,1,1
I04P2R2,1518516458054,2,1
I04P2R2,1518516458070,1,1
I04P2R2,1518516458301,0,1
I04P2R2,1518516458735,0,0
I04P2R2,1518516459545,1,0
I04P2R2,1518516459662,2,0
I04P2R2,1518516459843,3,0
I04P2R2,1518516460246,2,0
I10P1R3,1518516468458,1,0
I10P1R3,1518516468621,2,0
I10P1R3,1518516470101,1,0
I10P1R3,1518516471314,2,0
I10P1R3,1518516471476,3,0
I10P1R3,1518516471524,4,0
I10P1R3,1518516471591,5,0
I10P1R3,1518516471624,6,0
I10P1R3,1518516471657,7,0
I10P1R3,1518516471673,8,0
I10P1R3,1518516473069,7,0
I10P1R3,1518516473152,6,0
I10P1R3,1518516473218,5,0
I10P1R3,1518516473266,4,0
I10P1R3,1518516473318,3,0
I10P1R3,1518516473370,2,0
I10P1R3,1518516473420,1,0
I10P1R3,1518516473468,0,0
I10P1R3,1518516474561,1,0
I10P1R3,1518516474699,2,0
I10P1R3,1518516474859,3,0
I10P1R3,1518516475144,4,0
I04P1R4,1518516479082,1,2
I04P1R4,1518516479229,0,2
I04P1R4,1518516480157,1,2
I04P1R4,1518516481997,0,2
I04P1R4,1518516482643,1,2
I10P2R1,1518516488253,1,0
I10P2R1,1518516488366,2,0
I10P2R1,1518516488482,3,0
I10P2R1,1518516488583,4,0
I10P2R1,1518516488664,5,0
I10P2R1,1518516488797,6,0
I10P2R1,1518516488964,7,0
I10P2R1,1518516489579,6,0
I10P2R1,1518516489860,5,0
I10P2R1,1518516490026,4,0
I10P2R1,1518516490174,3,0
I10P2R1,1518516490323,2,0
I10P2R1,1518516490441,1,0
I10P2R1,1518516490555,0,0
I10P2R1,1518516493327,1,0
I10P2R1,1518516494554,2,0
I09P2R3,1518516500677,0,0
I09P2R3,1518516500780,1,0
I09P2R3,1518516500892,2,0
I09P2R3,1518516501095,1,0
I09P2R3,1518516501241,0,0
I09P2R3,1518516504891,1,0
I09P2R3,1518516505042,2,0
I04P2R4,1518516511164,0,0
I04P2R4,1518516516028,1,0
I09P1R2,1518516520521,1,0
I09P1R2,1518516520593,2,0
I09P1R2,1518516520674,3,0
I09P1R2,1518516520805,4,0
I09P1R2,1518516521135,3,0
I09P1R2,1518516521319,2,0
I09P1R2,1518516521535,1,0
I09P1R2,1518516521751,0,0
I01P2R2,1518516529133,0,7
I01P2R2,1518516529166,0,6
I01P2R2,1518516529219,0,5
I01P2R2,1518516529252,0,4
I01P2R2,1518516529285,0,3
I01P2R2,1518516529300,0,2
I01P2R2,1518516529334,0,1
I01P2R2,1518516529367,0,0
I01P2R2,1518516529400,1,0
I01P2R2,1518516529460,2,0
I01P2R2,1518516529534,3,0
I01P2R2,1518516529601,4,0
I01P2R2,1518516529717,5,0
I01P2R2,1518516529945,4,0
I09P2R1,1518516535407,1,0
I09P2R1,1518516535474,2,0
I09P2R1,1518516535561,3,0
I09P2R1,1518516535673,4,0
I09P2R1,1518516535971,3,0
I09P2R1,1518516536122,2,0
I09P2R1,1518516536258,1,0
I09P2R1,1518516536419,0,0
I09P2R1,1518516537880,1,0
I10P2R2,1518516543907,2,1
I10P2R2,1518516544252,2,0
I09P1R4,1518516549809,0,0
I09P1R4,1518516549925,1,0
I09P1R4,1518516549976,2,0
I09P1R4,1518516550081,3,0
I09P1R4,1518516550573,2,0
I10P2R3,1518516555302,0,5
I10P2R3,1518516555687,0,4
I10P2R3,1518516555866,1,4
I10P2R3,1518516555951,1,3
I10P2R3,1518516556034,2,2
I10P2R3,1518516556131,2,1
I10P2R3,1518516556233,2,0
I10P2R3,1518516558406,1,0
I10P2R3,1518516558607,0,0
I10P2R3,1518516558752,1,0
I10P2R3,1518516558921,0,0
I10P2R3,1518516559001,1,0
I10P2R3,1518516559483,0,0
I10P2R3,1518516559771,1,0
I01P1R3,1518516567616,0,0
I01P1R3,1518516567780,1,0
I01P1R3,1518516568180,2,0
I01P1R3,1518516568443,3,0
I01P1R3,1518516568560,4,0
I01P1R3,1518516569157,3,0
I01P1R3,1518516569343,2,0
I01P1R3,1518516569756,1,0
I01P1R3,1518516570881,0,0
I01P1R3,1518516572858,1,0
I01P1R3,1518516572891,2,0
I01P1R3,1518516572941,3,0
I01P1R3,1518516572974,4,0
I01P1R3,1518516573039,5,0
I01P1R3,1518516573076,6,0
I01P1R3,1518516573123,7,0
I01P1R3,1518516573188,8,0
I01P1R3,1518516573570,7,0
I01P1R3,1518516573788,6,0
I01P1R3,1518516574088,5,0
I01P1R3,1518516574351,6,0
I02P1R1,1518516578703,4,0
I02P1R1,1518516578868,3,0
I02P1R1,1518516578963,2,0
I02P1R1,1518516579081,1,0
I02P1R1,1518516579195,0,0
I02P1R1,1518516583078,1,0
I02P1R1,1518516583144,2,0
I02P1R1,1518516583211,3,0
I02P1R1,1518516583295,4,0
I02P1R1,1518516583377,5,0
I02P1R1,1518516583542,6,0
I02P1R1,1518516583941,6,1
I02P1R1,1518516583990,6,2
I02P1R1,1518516584057,6,3
I02P1R1,1518516584124,6,4
I02P1R1,1518516584228,6,5
I01P2R1,1518516591364,1,0
I01P2R1,1518516591372,2,0
I01P2R1,1518516591474,3,0
I01P2R1,1518516591545,2,0
I01P2R1,1518516591606,1,0
I01P2R1,1518516591644,0,0
I01P2R1,1518516592206,1,0
I01P2R1,1518516592304,2,0
I01P2R1,1518516592356,3,0
I01P2R1,1518516592520,4,0
I01P2R1,1518516592587,3,0
I01P2R1,1518516592834,2,0
I02P1R4,1518516599275,0,0
I02P1R4,1518516599558,1,0
I01P2R4,1518516604271,1,6
I01P2R4,1518516605299,2,6
I01P2R4,1518516605543,2,0
I01P2R4,1518516605564,2,1
I01P2R4,1518516605579,2,2
I01P2R4,1518516605598,2,3
I01P2R4,1518516605613,2,4
I01P2R4,1518516605644,2,5
I01P2R4,1518516605697,2,6
I01P2R4,1518516605782,2,7
I01P2R4,1518516605844,3,7
I01P2R4,1518516605894,3,8
I01P2R4,1518516606046,3,7
I01P2R4,1518516606324,2,7
I01P2R4,1518516606477,2,6
I01P2R4,1518516606755,3,6
I02P2R2,1518516611305,3,0
I02P2R2,1518516611316,4,0
I02P2R2,1518516611654,3,0
I02P2R2,1518516611833,2,0
I02P2R2,1518516612014,1,0
I02P2R2,1518516612098,0,0
I02P2R2,1518516613242,1,0
I02P2R2,1518516613393,2,0
I09P2R2,1518516618273,1,0
I09P2R2,1518516618354,2,0
I09P2R2,1518516618422,3,0
I09P2R2,1518516618537,4,0
I09P2R2,1518516618935,3,0
I09P2R2,1518516619066,2,0
I09P2R2,1518516619186,1,0
I09P2R2,1518516620508,2,0
I09P2R2,1518516620858,3,0
I09P2R2,1518516621538,2,0
I09P2R2,1518516621703,2,1
I09P2R2,1518516621737,3,1
I09P2R2,1518516621757,3,0
I09P2R2,1518516621985,2,0
I09P2R2,1518516622252,2,1
I09P2R2,1518516622269,3,1
I09P2R2,1518516622302,3,2
I09P2R2,1518516622334,3,3
I09P2R2,1518516622350,3,4
I09P2R2,1518516622385,3,5
I09P2R2,1518516622419,3,6
I09P2R2,1518516622450,3,7
I09P2R2,1518516622467,4,7
I09P2R2,1518516622500,4,8
I04P2R1,1518516629256,0,7
I04P2R1,1518516629270,1,6
I04P2R1,1518516629357,2,6
I04P2R1,1518516629417,2,5
I04P2R1,1518516629602,1,5
I04P2R1,1518516629768,1,4
I04P2R1,1518516629852,0,3
I04P2R1,1518516629902,0,2
I04P2R1,1518516629933,0,1
I04P2R1,1518516629952,0,0
I04P2R1,1518516630200,1,0
I04P2R1,1518516630831,2,0
I04P2R1,1518516631095,1,0
I04P2R1,1518516631775,0,0
I04P2R1,1518516633237,1,0
I04P2R1,1518516633252,2,0
I04P2R1,1518516633288,3,0
I04P2R1,1518516633303,4,0
I04P2R1,1518516633337,5,0
I04P2R1,1518516633401,6,0
I04P2R1,1518516633470,7,0
I04P2R1,1518516633570,6,0
