Stimulus,Timestamp,x,y
I10P1R3,1518629401847,1,2
I10P1R3,1518629402684,2,2
I10P1R3,1518629402910,3,2
I10P1R3,1518629403027,4,2
I10P1R3,1518629403159,5,2
I10P1R3,1518629403261,6,2
I10P1R3,1518629403377,7,2
I10P1R3,1518629403474,8,2
I10P1R3,1518629404273,7,2
I10P1R3,1518629404371,6,2
I10P1R3,1518629404472,5,2
I10P1R3,1518629404558,4,2
I10P1R3,1518629404654,3,2
I10P1R3,1518629404754,2,2
I10P1R3,1518629404854,1,2
I10P1R3,1518629405004,0,2
I10P1R3,1518629405254,0,3
I10P1R3,1518629405434,1,3
I10P1R3,1518629405584,2,3
I10P1R3,1518629405700,3,3
I10P1R3,1518629405799,4,3
I10P1R3,1518629405930,5,3
I10P1R3,1518629406046,6,3
I10P1R3,1518629406180,7,3
I10P1R3,1518629406843,6,3
I10P1R3,1518629406959,5,3
I10P1R3,1518629407060,4,3
I10P1R3,1518629407125,4,2
I10P1R3,1518629407158,3,2
I10P1R3,1518629407241,2,2
I10P1R3,1518629407291,2,3
I10P1R3,1518629407341,1,3
I10P1R3,1518629407457,0,3
I10P1R3,1518629408054,1,3
I10P1R3,1518629408171,2,3
I10P1R3,1518629408252,3,3
I10P1R3,1518629408353,4,3
I10P1R3,1518629408438,5,3
I10P1R3,1518629408535,6,3
I10P1R3,1518629408651,7,3
I10P1R3,1518629408819,8,3
I10P1R3,1518629409069,7,3
I10P1R3,1518629409368,6,3
I10P1R3,1518629409414,6,2
I10P1R3,1518629409499,5,2
I10P1R3,1518629409583,4,2
I10P1R3,1518629409664,3,2
I10P1R3,1518629409819,2,2
I10P1R3,1518629410744,2,1
I10P1R3,1518629410962,2,0
I10P1R3,1518629411555,3,0
I09P1R2,1518629417331,2,2
I09P1R2,1518629417513,1,2
I09P1R2,1518629417645,0,2
I09P1R2,1518629417697,0,1
I09P1R2,1518629418524,1,1
I09P1R2,1518629418591,2,1
I09P1R2,1518629418657,3,1
I09P1R2,1518629418722,4,1
I09P1R2,1518629418806,5,1
I09P1R2,1518629418840,5,2
I09P1R2,1518629418892,6,2
I09P1R2,1518629418989,7,2
I09P1R2,1518629419105,8,2
I09P1R2,1518629419572,7,2
I09P1R2,1518629419652,7,1
I09P1R2,1518629419686,6,1
I09P1R2,1518629419793,5,1
I09P1R2,1518629419867,4,1
I09P1R2,1518629419954,3,1
I09P1R2,1518629420034,2,1
I09P1R2,1518629420120,1,2
I09P1R2,1518629420200,0,2
I09P1R2,1518629420797,1,2
I01P1R3,1518629427771,1,3
I01P1R3,1518629427871,0,3
I01P1R3,1518629428814,1,3
I01P1R3,1518629428878,2,3
I01P1R3,1518629428962,3,3
I01P1R3,1518629429030,4,3
I01P1R3,1518629429111,5,3
I01P1R3,1518629429212,6,3
I01P1R3,1518629429424,7,3
I01P1R3,1518629429491,6,3
I01P1R3,1518629429740,5,3
I01P1R3,1518629429840,4,3
I01P1R3,1518629429938,3,3
I01P1R3,1518629430026,2,3
I01P1R3,1518629430089,1,3
I01P1R3,1518629430154,0,3
I01P1R3,1518629430652,0,4
I01P1R3,1518629430704,0,3
I01P1R3,1518629431018,1,3
I01P1R3,1518629431102,2,3
I01P1R3,1518629431236,3,3
I01P1R3,1518629431384,4,3
I01P1R3,1518629432229,3,3
I01P1R3,1518629432379,2,3
I01P1R3,1518629432482,1,3
I01P1R3,1518629432561,0,3
I01P1R3,1518629432959,0,4
I01P1R3,1518629433129,0,3
I01P1R3,1518629433423,1,3
I01P1R3,1518629433540,2,3
I01P1R3,1518629433656,3,3
I01P1R3,1518629433858,4,3
I01P1R3,1518629434436,3,3
I01P1R3,1518629434588,2,3
I01P1R3,1518629434720,1,3
I01P1R3,1518629434801,0,3
I01P1R3,1518629435697,1,3
I01P1R3,1518629435797,2,3
I01P1R3,1518629435896,3,3
I01P1R3,1518629436002,4,3
I01P1R3,1518629436097,5,3
I01P1R3,1518629436228,6,3
I01P1R3,1518629436742,5,3
I01P1R3,1518629436892,4,3
I01P1R3,1518629437010,3,3
I01P1R3,1518629437107,2,3
I01P1R3,1518629437224,1,3
I01P1R3,1518629437339,0,3
I01P1R3,1518629437704,0,4
I01P1R3,1518629437754,0,3
I01P1R3,1518629437987,1,3
I01P1R3,1518629438102,2,3
I01P1R3,1518629438236,3,3
I01P1R3,1518629438368,4,3
I01P1R3,1518629438484,5,3
I01P1R3,1518629438634,6,4
I01P1R3,1518629438766,6,3
I01P1R3,1518629439048,6,4
I01P1R3,1518629439083,6,3
I01P1R3,1518629439213,5,3
I01P1R3,1518629439430,4,3
I01P1R3,1518629439694,3,3
I09P1R1,1518629443583,2,4
I09P1R1,1518629443594,2,3
I09P1R1,1518629443895,2,2
I09P1R1,1518629443912,2,3
I09P1R1,1518629444077,2,2
I09P1R1,1518629444408,2,1
I09P1R1,1518629444443,1,1
I09P1R1,1518629444545,0,1
I09P1R1,1518629445519,0,2
I09P1R1,1518629445737,1,2
I09P1R1,1518629445856,2,2
