Stimulus,Timestamp,x,y
I10P2R2,1518539084698,0,1
I10P2R2,1518539084732,0,2
I10P2R2,1518539084772,0,3
I10P2R2,1518539084798,0,4
I10P2R2,1518539084832,0,5
I10P2R2,1518539084849,0,6
I10P2R2,1518539084880,0,7
I10P2R2,1518539084897,0,8
I10P2R2,1518539085743,0,7
I10P2R2,1518539085792,0,6
I10P2R2,1518539085809,0,5
I10P2R2,1518539085825,0,4
I10P2R2,1518539085858,0,3
I10P2R2,1518539085876,0,2
I10P2R2,1518539085892,0,1
I10P2R2,1518539085924,0,0
I01P2R2,1518539092527,0,2
I01P2R2,1518539093391,0,1
I01P2R2,1518539093559,0,0
I02P2R4,1518539106582,0,7
I02P2R4,1518539106816,0,6
I02P2R4,1518539107080,0,5
I02P2R4,1518539107276,0,6
I02P2R4,1518539107409,0,5
I01P2R1,1518539112869,0,7
I01P2R1,1518539112884,0,6
I01P2R1,1518539112902,0,5
I01P2R1,1518539112934,0,4
I01P2R1,1518539112952,0,3
I01P2R1,1518539112968,0,2
I01P2R1,1518539113004,0,1
I01P2R1,1518539113022,0,0
I02P2R3,1518539125895,0,1
I09P2R3,1518539131034,0,7
I09P2R3,1518539131217,0,6
I04P2R3,1518539136067,0,7
I04P2R3,1518539136197,0,6
I04P2R3,1518539136312,0,5
I04P2R3,1518539136393,0,4
I04P2R3,1518539136462,0,3
I04P2R3,1518539136545,0,2
I04P2R3,1518539136612,0,1
I04P2R3,1518539136678,0,0
I09P2R2,1518539145787,0,1
I09P2R2,1518539145871,0,0
I01P1R2,1518539153953,0,7
I01P1R2,1518539154282,0,6
I01P1R2,1518539154413,0,5
I01P1R2,1518539154481,0,4
I01P1R2,1518539154580,0,3
I01P1R2,1518539154661,0,2
I01P1R2,1518539154761,0,1
I01P1R2,1518539154878,0,0
I01P1R2,1518539156040,0,1
I01P1R2,1518539156652,0,2
I01P1R2,1518539157102,0,1
I01P1R2,1518539157283,0,0
I01P2R4,1518539171585,0,7
I09P1R3,1518539177035,0,7
I09P1R3,1518539177069,0,6
I09P1R3,1518539177080,0,5
I09P1R3,1518539177130,0,4
I09P1R3,1518539177143,0,3
I09P1R3,1518539177176,0,2
I09P1R3,1518539177209,0,1
I09P1R3,1518539177242,0,0
I09P1R3,1518539177705,0,1
I09P1R3,1518539177827,0,2
I04P2R4,1518539182236,0,7
I04P2R4,1518539182253,0,6
I04P2R4,1518539182289,0,5
I04P2R4,1518539182320,0,4
I04P2R4,1518539182353,0,3
I04P2R4,1518539182404,0,2
I04P2R4,1518539182550,0,3
I10P1R3,1518539187431,0,7
I02P2R2,1518539192555,0,7
I02P2R2,1518539192673,0,6
I02P2R2,1518539192822,0,5
I02P2R2,1518539192975,0,4
I02P2R2,1518539193204,0,3
I02P2R2,1518539193321,0,2
I02P2R2,1518539193370,0,1
I02P2R2,1518539193420,0,0
I04P2R1,1518539205265,0,5
I04P2R1,1518539205664,0,4
I04P2R1,1518539206128,0,3
I04P2R1,1518539206229,0,2
I04P2R1,1518539206277,0,1
I04P2R1,1518539206329,0,0
I02P1R2,1518539218190,0,2
I02P1R2,1518539218689,0,1
I02P1R2,1518539219103,0,2
I04P1R3,1518539227714,0,6
I04P1R3,1518539227931,0,5
I09P2R1,1518539234350,0,7
I09P2R1,1518539234399,0,6
I09P2R1,1518539234432,0,5
I09P2R1,1518539234468,0,4
I09P2R1,1518539234516,0,3
I09P2R1,1518539234582,0,2
I09P2R1,1518539234947,0,3
I01P2R3,1518539239760,0,7
I02P1R4,1518539250371,0,7
I01P1R1,1518539261160,0,1
I01P1R1,1518539261476,0,0
I10P1R1,1518539274683,0,6
I10P1R1,1518539275230,0,5
I10P1R1,1518539275333,0,4
I10P1R1,1518539275432,0,3
I10P1R1,1518539275483,0,2
I10P1R1,1518539275515,0,1
I10P1R1,1518539275549,0,0
I09P1R2,1518539286464,0,4
I02P1R1,1518539294196,0,6
I02P1R1,1518539294776,0,5
I02P1R1,1518539295805,0,4
I02P1R1,1518539295957,0,3
I02P1R1,1518539296038,0,2
I02P1R1,1518539296086,0,1
I02P1R1,1518539296135,0,0
I04P1R1,1518539305588,0,7
I04P1R1,1518539305659,0,8
I04P1R1,1518539305941,0,7
I04P1R1,1518539306191,0,6
I04P1R1,1518539306272,0,5
I04P1R1,1518539306322,0,4
I04P1R1,1518539306390,0,3
I04P1R1,1518539306507,0,2
I04P1R1,1518539306608,0,1
I04P1R1,1518539306737,0,0
I09P1R4,1518539312312,0,3
I04P1R2,1518539322252,0,7
I04P1R2,1518539322286,0,6
I04P1R2,1518539322322,0,5
I04P1R2,1518539322353,0,4
I04P1R2,1518539322370,0,3
I04P1R2,1518539322416,0,2
I04P1R2,1518539322451,0,1
I04P1R2,1518539322500,0,0
I10P1R2,1518539350771,0,7
I10P1R2,1518539350804,0,6
I10P1R2,1518539350838,0,5
I10P1R2,1518539350872,0,4
I10P1R2,1518539350901,0,3
I10P1R2,1518539350953,0,2
I10P1R2,1518539351004,0,1
I10P1R2,1518539351052,0,0
