Stimulus,Timestamp,x,y
I10P2R4,1518522858421,6,6
I10P2R4,1518522858580,5,6
I10P2R4,1518522858711,4,6
I10P2R4,1518522862168,3,6
I10P2R4,1518522862397,4,6
I10P2R4,1518522864024,5,6
I10P2R4,1518522864157,6,6
I10P2R4,1518522864273,7,6
I10P2R4,1518522864389,6,6
I10P2R4,1518522864536,5,6
I01P1R1,1518522873697,6,0
I01P1R1,1518522873881,5,0
I10P1R2,1518522879139,5,0
I10P1R2,1518522879240,4,0
I10P1R2,1518522879290,3,0
I10P1R2,1518522879338,2,0
I10P1R2,1518522879374,1,0
I10P1R2,1518522879410,0,0
I10P1R2,1518522880969,1,0
I10P1R2,1518522881034,2,0
I10P1R2,1518522881098,3,0
I10P1R2,1518522881198,4,0
I10P1R2,1518522883422,5,0
I10P1R2,1518522883739,6,0
I10P1R2,1518522883805,5,0
I10P1R2,1518522884253,6,0
I10P1R2,1518522884584,5,0
I10P1R2,1518522885545,6,0
I10P1R2,1518522886540,5,0
I10P1R2,1518522887205,6,0
I10P1R2,1518522887271,5,0
I09P1R1,1518522894656,3,0
I09P1R1,1518522894972,4,0
I09P1R1,1518522895369,5,0
I09P1R1,1518522895436,6,0
I09P1R1,1518522895503,7,0
I09P1R1,1518522895552,8,0
I09P1R1,1518522895903,7,0
I09P1R1,1518522895969,6,0
I09P1R1,1518522896018,5,0
I09P1R1,1518522896084,4,0
I09P1R1,1518522896151,3,0
I09P1R1,1518522896234,2,0
I09P1R1,1518522896482,1,0
I09P1R1,1518522896864,0,0
I09P1R1,1518522897061,1,0
I09P1R1,1518522897179,2,0
I09P1R1,1518522897227,3,0
I09P1R1,1518522897279,4,0
I09P1R1,1518522897327,5,0
I09P1R1,1518522897360,6,0
I09P1R1,1518522897428,7,0
I09P1R1,1518522897476,8,0
I09P1R1,1518522898008,7,0
I09P1R1,1518522898090,6,0
I09P1R1,1518522898158,5,0
I09P1R1,1518522898208,4,0
I09P1R1,1518522898278,3,0
