Stimulus,Timestamp,x,y
I01P2R2,1518187898891,2,0
I01P2R2,1518187900046,1,0
I01P2R2,1518187900145,0,0
I01P2R2,1518187901554,1,0
I01P2R2,1518187901653,2,0
I01P2R2,1518187901770,3,0
I01P2R2,1518187901924,4,0
I01P2R2,1518187902052,5,0
I01P2R2,1518187902169,6,0
I01P2R2,1518187902301,7,0
I01P2R2,1518187902419,8,0
I01P2R2,1518187903349,8,1
I01P2R2,1518187903400,8,2
I01P2R2,1518187903432,8,3
I01P2R2,1518187903498,8,4
I01P2R2,1518187903562,8,5
I01P2R2,1518187903694,8,6
I01P2R2,1518187903797,8,7
I01P2R2,1518187904044,8,8
I01P2R2,1518187904260,8,7
I01P2R2,1518187904408,8,6
I01P2R2,1518187904547,8,5
I01P2R2,1518187904657,8,4
I01P2R2,1518187904759,8,3
I01P2R2,1518187904840,8,2
I01P2R2,1518187904956,8,1
I01P2R2,1518187905040,8,0
I01P2R2,1518187905271,7,0
I01P2R2,1518187905604,6,0
I01P2R2,1518187906318,5,0
I01P2R2,1518187906471,4,0
I01P2R2,1518187906600,3,0
I01P2R2,1518187906947,2,0
I01P2R2,1518187907081,1,0
I01P2R2,1518187907332,2,0
I02P2R1,1518187914381,3,0
I02P2R1,1518187914480,2,0
I02P2R1,1518187914548,1,0
I02P2R1,1518187914613,0,0
I02P2R1,1518187915708,1,0
I02P2R1,1518187915774,2,0
I02P2R1,1518187915826,3,0
I02P2R1,1518187915874,4,0
I02P2R1,1518187915944,5,0
I02P2R1,1518187916006,6,0
I02P2R1,1518187916090,7,0
I02P2R1,1518187916189,8,0
I02P2R1,1518187918661,7,0
I02P2R1,1518187918745,6,0
I02P2R1,1518187918811,5,0
I02P2R1,1518187918879,4,0
I02P2R1,1518187918930,3,0
I02P2R1,1518187918976,2,0
I02P2R1,1518187919046,1,0
I02P2R1,1518187919111,0,0
I02P2R1,1518187920107,0,1
I02P2R1,1518187920205,1,1
I02P2R1,1518187920291,2,2
I02P2R1,1518187920321,3,2
I02P2R1,1518187920336,3,3
I02P2R1,1518187920388,4,3
I02P2R1,1518187920404,4,4
I02P2R1,1518187920439,5,4
I02P2R1,1518187920538,5,5
I02P2R1,1518187920553,6,5
I02P2R1,1518187920802,5,5
I02P2R1,1518187920986,5,4
I02P2R1,1518187921084,4,4
I02P2R1,1518187921187,4,5
I02P2R1,1518187921256,4,6
I02P2R1,1518187921301,4,7
I02P2R1,1518187921400,4,8
I02P2R1,1518187922230,4,7
I02P2R1,1518187922312,4,6
I02P2R1,1518187922360,4,5
I02P2R1,1518187922411,4,4
I02P2R1,1518187922461,4,3
I02P2R1,1518187922509,4,2
I02P2R1,1518187922564,4,1
I02P2R1,1518187922609,4,0
I02P2R1,1518187923356,5,0
I02P2R1,1518187923411,4,0
I02P2R1,1518187925016,5,0
I02P2R1,1518187925350,4,0
I02P2R1,1518187925928,5,0
I02P2R1,1518187926142,4,0
I01P1R3,1518187932662,5,0
I01P1R3,1518187932764,4,0
I01P1R3,1518187933859,4,1
I01P1R3,1518187933927,4,2
I01P1R3,1518187934010,4,3
