Stimulus,Timestamp,x,y
I04P1R1,1518618530447,1,4
I04P1R1,1518618531143,1,5
I04P1R1,1518618531229,0,5
I04P1R1,1518618531514,0,6
I04P1R1,1518618532073,0,5
I04P1R1,1518618532160,0,4
I04P1R1,1518618532208,0,3
I04P1R1,1518618532243,0,2
I04P1R1,1518618532291,0,1
I04P1R1,1518618532357,0,0
I04P1R1,1518618532621,1,0
I04P1R1,1518618532755,2,0
I04P1R1,1518618532808,3,0
I04P1R1,1518618532886,4,0
I04P1R1,1518618532987,5,0
I04P1R1,1518618533136,4,0
I04P1R1,1518618533466,5,0
I04P1R1,1518618533548,6,0
I04P1R1,1518618533582,7,0
I04P1R1,1518618533615,8,0
I04P1R1,1518618534346,8,1
I04P1R1,1518618535011,8,0
I04P1R1,1518618535197,7,0
I04P1R1,1518618535226,6,0
I04P1R1,1518618535258,5,0
I04P1R1,1518618535272,4,1
I04P1R1,1518618535282,3,1
I04P1R1,1518618535294,2,1
I04P1R1,1518618535325,1,1
I04P1R1,1518618535359,0,1
I04P1R1,1518618535575,1,1
I04P1R1,1518618535804,1,2
I04P1R1,1518618535872,2,2
I04P1R1,1518618536006,2,3
I04P1R1,1518618536022,2,2
I10P2R4,1518618543287,3,5
I10P2R4,1518618543330,4,5
I10P2R4,1518618543619,4,6
I10P2R4,1518618543887,4,5
I10P2R4,1518618544217,3,5
I10P2R4,1518618544385,3,4
I10P2R4,1518618544501,3,3
I10P2R4,1518618544549,3,2
I10P2R4,1518618544614,3,1
I10P2R4,1518618544667,3,0
I10P2R4,1518618544683,2,0
I10P2R4,1518618544781,1,0
I10P2R4,1518618544881,0,0
I10P2R4,1518618545248,1,0
I10P2R4,1518618545363,2,0
I10P2R4,1518618545496,3,0
I10P2R4,1518618545679,4,0
I10P2R4,1518618546174,3,0
I10P2R4,1518618546243,3,1
I10P2R4,1518618546307,3,2
I10P2R4,1518618546423,3,3
I10P2R4,1518618546521,3,4
I10P2R4,1518618547021,3,3
I10P2R4,1518618547522,4,3
I10P2R4,1518618547569,4,2
I10P2R4,1518618547654,5,2
I10P2R4,1518618547721,6,2
I10P2R4,1518618547820,7,2
I10P2R4,1518618548348,6,2
I10P2R4,1518618548449,5,2
I10P2R4,1518618548516,4,2
I10P2R4,1518618548579,3,2
I10P2R4,1518618548847,3,3
I01P2R2,1518618554289,3,6
I01P2R2,1518618554339,3,7
I01P2R2,1518618554886,3,6
I01P2R2,1518618555067,3,5
I01P2R2,1518618555152,3,4
I01P2R2,1518618555204,3,3
I01P2R2,1518618555236,3,2
I01P2R2,1518618555286,3,1
I01P2R2,1518618555319,3,0
I01P2R2,1518618555351,2,0
I01P2R2,1518618555569,1,0
I01P2R2,1518618555750,0,0
I01P2R2,1518618556396,1,1
I01P2R2,1518618556430,1,2
I01P2R2,1518618556463,1,3
I01P2R2,1518618556480,2,4
I01P2R2,1518618556512,2,5
I01P2R2,1518618556546,3,6
I01P2R2,1518618556596,3,7
I01P2R2,1518618556611,4,7
I01P2R2,1518618556676,5,8
I01P2R2,1518618556710,6,8
I01P2R2,1518618556760,7,8
I01P2R2,1518618556792,8,8
I01P2R2,1518618557545,7,8
I01P2R2,1518618557576,7,7
I01P2R2,1518618557628,6,7
I01P2R2,1518618557723,6,6
I01P2R2,1518618557841,6,5
I01P2R2,1518618557922,6,4
I01P2R2,1518618557938,5,4
I01P2R2,1518618557988,5,3
I01P2R2,1518618558038,5,2
I01P2R2,1518618558055,4,2
I01P2R2,1518618558088,4,1
I01P2R2,1518618558106,3,1
I01P2R2,1518618558155,3,0
I01P2R2,1518618558171,2,0
I01P2R2,1518618558205,1,0
I01P2R2,1518618558272,0,0
