Stimulus,Timestamp,x,y
I10P1R1,1518100815154,1,2
I10P1R1,1518100815163,1,3
I10P1R1,1518100815211,1,4
I10P1R1,1518100815457,1,3
I10P1R1,1518100815874,1,4
I10P1R1,1518100816043,1,5
I10P1R1,1518100816188,1,6
I10P1R1,1518100816371,1,7
I10P1R1,1518100816453,1,6
I10P1R1,1518100816654,1,5
I10P1R1,1518100816770,1,4
I10P1R1,1518100816884,1,3
I10P1R1,1518100817016,1,2
I10P1R1,1518100817149,1,1
I10P1R1,1518100817265,1,0
I10P1R1,1518100817431,0,0
I10P1R1,1518100817746,0,1
I10P1R1,1518100817863,0,2
I10P1R1,1518100817998,0,3
I10P1R1,1518100818095,0,4
I10P1R1,1518100818229,0,5
I10P1R1,1518100818348,0,6
I10P1R1,1518100818526,0,7
I10P1R1,1518100818926,0,6
I10P1R1,1518100818958,1,6
I10P1R1,1518100819108,2,6
I10P1R1,1518100819225,3,5
I01P2R3,1518100823411,0,6
I01P2R3,1518100824118,1,6
I01P2R3,1518100824217,2,6
I01P2R3,1518100824317,2,5
I01P2R3,1518100824615,1,5
I01P2R3,1518100824865,0,5
I01P2R3,1518100825166,0,6
I01P2R3,1518100825911,0,5
I01P2R3,1518100826225,0,4
I01P2R3,1518100826442,0,3
I01P2R3,1518100826640,0,2
I01P2R3,1518100826791,0,1
I01P2R3,1518100826922,0,0
I01P2R3,1518100828401,0,1
I01P2R3,1518100828535,0,2
I01P2R3,1518100828697,0,3
I01P2R3,1518100828882,0,4
I01P2R3,1518100829097,0,5
I01P2R3,1518100829260,0,6
I01P2R3,1518100829429,0,7
I01P2R3,1518100829564,0,8
I01P2R3,1518100830688,0,7
I01P2R3,1518100830856,0,6
I01P2R3,1518100831009,0,5
I01P2R3,1518100831204,0,4
I01P2R3,1518100831353,0,3
I01P2R3,1518100831538,0,2
I01P2R3,1518100831684,0,1
I01P2R3,1518100831801,0,0
I01P2R3,1518100832895,0,1
I01P2R3,1518100833014,0,2
I01P2R3,1518100833145,0,3
I01P2R3,1518100833313,0,4
I01P2R3,1518100833444,0,5
I01P2R3,1518100833593,0,6
I01P2R3,1518100833759,0,7
I01P2R3,1518100833911,0,8
I01P2R3,1518100834655,0,7
I01P2R3,1518100834787,0,6
I01P2R3,1518100834904,0,5
I01P2R3,1518100835054,0,4
I01P2R3,1518100835169,0,3
I01P2R3,1518100835291,0,2
I01P2R3,1518100835418,0,1
I01P2R3,1518100835516,0,0
I01P2R3,1518100836165,0,1
I01P2R3,1518100836247,0,2
I01P2R3,1518100836348,0,3
I01P2R3,1518100836432,0,4
I01P2R3,1518100836496,0,5
I01P2R3,1518100836580,0,6
I01P2R3,1518100836695,0,7
I01P2R3,1518100837144,0,6
I01P2R3,1518100837362,0,5
I01P2R3,1518100837443,1,5
I01P2R3,1518100837608,2,5
I01P2R3,1518100838187,1,5
I01P2R3,1518100838339,0,5
I01P2R3,1518100838754,0,4
I01P2R3,1518100841026,1,4
I01P2R3,1518100841257,2,4
I01P2R3,1518100841457,3,4
I01P2R3,1518100841623,3,3
I01P2R3,1518100841689,4,3
I01P2R3,1518100841875,5,3
I01P2R3,1518100842074,6,3
I01P2R3,1518100842237,7,3
I01P2R3,1518100842753,6,3
I01P2R3,1518100842867,5,3
I01P2R3,1518100842903,5,4
I01P2R3,1518100842966,4,4
I01P2R3,1518100843100,3,4
I01P2R3,1518100843184,2,4
I01P2R3,1518100843334,1,4
I01P2R3,1518100843447,0,4
I01P2R3,1518100843929,1,4
I01P2R3,1518100844045,2,4
I01P2R3,1518100844131,3,4
I01P2R3,1518100844211,4,4
I01P2R3,1518100844311,5,4
I01P2R3,1518100844411,6,4
I01P2R3,1518100844576,7,4
I01P2R3,1518100844843,7,3
I01P2R3,1518100844957,6,3
I01P2R3,1518100845024,5,3
I01P2R3,1518100845090,5,4
I01P2R3,1518100845108,4,4
I01P2R3,1518100845190,3,4
I01P2R3,1518100845276,2,4
I01P2R3,1518100845373,1,4
I01P2R3,1518100845473,0,4
I01P2R3,1518100846037,1,4
I01P2R3,1518100846137,2,4
I01P2R3,1518100846202,3,4
I01P2R3,1518100846285,4,4
I01P2R3,1518100846368,5,4
I01P2R3,1518100846484,6,4
I01P2R3,1518100846618,7,4
I01P2R3,1518100846732,8,4
I01P2R3,1518100846948,7,4
I01P2R3,1518100847065,6,4
I01P2R3,1518100847164,5,4
I01P2R3,1518100847249,4,4
I01P2R3,1518100847332,3,4
I01P2R3,1518100847413,2,5
I01P2R3,1518100847529,1,5
I01P2R3,1518100847629,0,5
I01P2R3,1518100848393,0,4
I01P2R3,1518100848508,0,3
I01P2R3,1518100848640,0,2
I01P2R3,1518100848764,0,1
I01P2R3,1518100848841,0,0
I01P2R3,1518100849404,0,1
I10P1R3,1518100852573,1,2
I10P1R3,1518100852722,2,2
I10P1R3,1518100852811,2,1
I10P1R3,1518100852939,2,0
I10P1R3,1518100853005,3,0
I10P1R3,1518100853186,2,0
I10P1R3,1518100853270,2,1
I10P1R3,1518100853320,2,2
I10P1R3,1518100853370,2,3
I10P1R3,1518100853436,2,4
I10P1R3,1518100853535,2,5
I10P1R3,1518100853613,1,5
I10P1R3,1518100853718,1,6
I10P1R3,1518100854250,0,6
I10P1R3,1518100854266,0,7
I10P1R3,1518100854615,0,6
I10P1R3,1518100854913,0,5
I10P1R3,1518100855112,0,4
I10P1R3,1518100855413,0,3
I10P1R3,1518100855776,0,2
I10P1R3,1518100856107,0,1
I10P1R3,1518100856307,0,0
I10P1R3,1518100857369,0,1
I10P1R3,1518100857440,0,2
I10P1R3,1518100857517,0,3
I10P1R3,1518100857634,0,4
I10P1R3,1518100857749,0,5
I10P1R3,1518100857865,0,6
I10P1R3,1518100857982,0,7
I10P1R3,1518100858133,0,8
I10P1R3,1518100859561,1,8
I10P1R3,1518100859723,2,8
I10P1R3,1518100860041,3,8
I10P1R3,1518100860405,4,8
I10P1R3,1518100860855,3,8
I10P1R3,1518100861201,2,8
I10P1R3,1518100861598,1,8
I10P1R3,1518100862032,0,8
I10P1R3,1518100863751,0,7
I10P1R3,1518100863938,0,6
I10P1R3,1518100864171,0,5
I10P1R3,1518100864437,0,4
I10P1R3,1518100865399,0,3
I10P1R3,1518100865531,0,2
I10P1R3,1518100865631,0,1
I10P1R3,1518100865714,0,0
I10P1R3,1518100866427,0,1
I10P1R3,1518100866526,0,2
I10P1R3,1518100866626,0,3
I10P1R3,1518100866726,0,4
I10P1R3,1518100866826,0,5
I10P1R3,1518100866925,0,6
I10P1R3,1518100867027,0,7
I10P1R3,1518100867140,0,8
I10P1R3,1518100868520,0,7
I10P1R3,1518100868700,0,6
I10P1R3,1518100870230,0,7
I10P1R3,1518100870262,0,6
I09P2R1,1518100873853,1,1
I09P2R1,1518100873859,0,1
I09P2R1,1518100874031,1,2
I09P2R1,1518100874062,1,4
I09P2R1,1518100874082,1,6
I09P2R1,1518100874111,2,8
I09P2R1,1518100874142,3,8
I09P2R1,1518100874227,4,8
I09P2R1,1518100874325,5,8
I09P2R1,1518100874426,4,8
I09P2R1,1518100874528,3,8
I09P2R1,1518100874691,2,8
I09P2R1,1518100874857,1,8
I09P2R1,1518100874956,1,7
I09P2R1,1518100874973,0,6
I09P2R1,1518100875005,0,5
I09P2R1,1518100875038,0,4
I09P2R1,1518100875075,0,3
I09P2R1,1518100875521,0,2
I09P2R1,1518100876051,1,2
I09P2R1,1518100876116,2,2
I09P2R1,1518100876200,3,2
I09P2R1,1518100876283,4,2
I09P2R1,1518100876335,4,3
I09P2R1,1518100876384,5,3
I09P2R1,1518100876481,6,3
I09P2R1,1518100876587,7,3
I09P2R1,1518100876732,8,3
I09P2R1,1518100876780,7,3
I09P2R1,1518100876930,6,3
I09P2R1,1518100876980,6,2
I09P2R1,1518100877079,5,2
I09P2R1,1518100877212,4,2
I09P2R1,1518100877311,3,2
I09P2R1,1518100877412,2,2
I09P2R1,1518100877526,1,2
I09P2R1,1518100877678,0,2
I09P2R1,1518100878341,0,3
I09P2R1,1518100878859,0,4
I09P2R1,1518100879186,1,4
I09P2R1,1518100879386,1,5
I09P2R1,1518100879485,1,6
I09P2R1,1518100879619,1,7
I09P2R1,1518100879734,1,8
I09P2R1,1518100880414,0,8
I09P2R1,1518100880719,0,7
I09P2R1,1518100880767,0,6
I09P2R1,1518100880846,0,5
I09P2R1,1518100880896,0,4
I09P2R1,1518100880962,0,3
I09P2R1,1518100881028,0,2
I09P2R1,1518100881094,0,1
I09P2R1,1518100881162,0,0
I09P2R1,1518100882208,0,1
I09P2R1,1518100882274,0,2
I09P2R1,1518100882326,0,3
I09P2R1,1518100882392,0,4
I09P2R1,1518100882424,0,5
I09P2R1,1518100882475,0,6
I09P2R1,1518100882559,0,7
I09P2R1,1518100882604,0,8
I09P2R1,1518100883190,0,7
I09P2R1,1518100883218,0,6
I09P2R1,1518100883270,0,5
I09P2R1,1518100883319,0,4
I09P2R1,1518100883369,0,3
I09P2R1,1518100883402,0,2
I09P2R1,1518100883452,0,1
I09P2R1,1518100883488,0,0
I09P2R1,1518100884464,0,1
I09P2R1,1518100884530,0,2
I09P2R1,1518100884581,0,3
I09P2R1,1518100884631,0,4
I09P2R1,1518100884696,0,5
I09P2R1,1518100884728,0,6
I09P2R1,1518100884778,0,7
I09P2R1,1518100884848,0,8
I09P2R1,1518100885160,0,7
I09P2R1,1518100885211,0,6
I09P2R1,1518100885242,0,5
I09P2R1,1518100885293,0,4
I09P2R1,1518100885341,0,3
I09P2R1,1518100885393,0,2
I09P2R1,1518100885425,0,1
I09P2R1,1518100885491,0,0
I09P2R1,1518100888145,1,0
I09P2R1,1518100888214,2,0
I09P2R1,1518100888278,3,0
I09P2R1,1518100888381,4,0
I09P2R1,1518100888478,5,0
I09P2R1,1518100888596,6,0
I09P2R1,1518100888958,5,0
I09P2R1,1518100889126,4,0
I09P2R1,1518100889207,3,0
I09P2R1,1518100889278,2,0
I09P2R1,1518100889360,1,0
I09P2R1,1518100889426,0,0
I09P2R1,1518100892858,1,0
I09P2R1,1518100893125,0,0
I09P2R1,1518100895898,1,0
I09P2R1,1518100896004,2,0
I09P2R1,1518100896110,3,0
I09P2R1,1518100896243,4,0
I09P2R1,1518100896342,5,0
I09P2R1,1518100896359,5,1
I09P2R1,1518100896475,6,1
I09P2R1,1518100896625,7,1
I09P2R1,1518100896724,8,1
I09P2R1,1518100896941,8,2
I09P2R1,1518100897356,8,1
I09P2R1,1518100897538,7,1
I09P2R1,1518100897587,6,1
I09P2R1,1518100897654,5,1
I09P2R1,1518100897719,4,1
I09P2R1,1518100897821,3,1
I09P2R1,1518100897835,3,0
I09P2R1,1518100897906,2,0
I09P2R1,1518100897922,2,1
I09P2R1,1518100898006,1,1
I09P2R1,1518100898303,2,1
I09P2R1,1518100898402,3,1
I09P2R1,1518100898470,4,1
I09P2R1,1518100898535,5,1
I09P2R1,1518100898619,6,1
I09P2R1,1518100898667,7,1
I09P2R1,1518100898748,8,1
I09P2R1,1518100899113,7,1
I09P2R1,1518100899165,6,1
I09P2R1,1518100899215,5,1
I09P2R1,1518100899280,4,1
I09P2R1,1518100899330,3,1
I09P2R1,1518100899395,2,1
I09P2R1,1518100899463,1,1
I09P2R1,1518100899545,0,1
I09P2R1,1518100899993,1,1
I09P2R1,1518100900062,2,1
I09P2R1,1518100900143,3,1
I09P2R1,1518100900209,4,1
I09P2R1,1518100900308,5,1
I09P2R1,1518100900409,6,1
I09P2R1,1518100900491,7,1
I09P2R1,1518100900557,8,1
I09P2R1,1518100900905,7,1
I09P2R1,1518100900971,6,1
I09P2R1,1518100901038,5,1
I09P2R1,1518100901104,4,1
I09P2R1,1518100901205,3,1
I09P2R1,1518100901288,2,1
I09P2R1,1518100901371,1,1
I09P2R1,1518100901470,0,1
I09P2R1,1518100901735,1,1
I09P2R1,1518100901852,2,1
I09P2R1,1518100901951,3,1
I09P2R1,1518100901983,3,2
I09P2R1,1518100902017,4,2
I09P2R1,1518100902184,5,2
I09P2R1,1518100902333,4,2
I09P2R1,1518100902350,4,1
I09P2R1,1518100902517,3,1
I09P2R1,1518100902532,3,0
I09P2R1,1518100902649,2,0
I09P2R1,1518100902764,1,0
I01P2R2,1518100906348,1,0
I01P2R2,1518100907463,1,1
I01P2R2,1518100907525,1,2
I01P2R2,1518100907593,1,3
I01P2R2,1518100907659,1,4
I01P2R2,1518100907709,2,4
I01P2R2,1518100907725,2,5
I01P2R2,1518100907824,2,6
I01P2R2,1518100907974,1,6
I01P2R2,1518100908025,1,5
I01P2R2,1518100908123,1,4
I01P2R2,1518100908175,1,3
I01P2R2,1518100908247,1,2
I01P2R2,1518100908323,1,1
I01P2R2,1518100908390,1,0
I01P2R2,1518100908455,2,0
I01P2R2,1518100908640,3,0
I01P2R2,1518100908886,4,0
I01P2R2,1518100909052,4,1
I01P2R2,1518100909103,4,2
I01P2R2,1518100909170,4,3
I01P2R2,1518100909202,4,4
I01P2R2,1518100909251,4,5
I01P2R2,1518100909334,4,6
I01P2R2,1518100909367,5,6
I01P2R2,1518100909386,5,7
I01P2R2,1518100909534,5,8
I01P2R2,1518100909655,6,8
I01P2R2,1518100909715,7,8
I01P2R2,1518100909782,8,8
I01P2R2,1518100909898,8,7
I01P2R2,1518100910180,8,6
I01P2R2,1518100910231,7,6
I01P2R2,1518100910283,6,6
I01P2R2,1518100910316,5,6
I01P2R2,1518100910380,4,6
I01P2R2,1518100910430,3,6
